"","TVType","ProgramType","Month","DayPart","SpotName","Oldest","Old","Base","RR","CPM","comp"
"312","DN","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",180,336,479355,0.0000555555555555556,21.4398333333333,0.000375504584285133
"313","DN","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",210,353,410930,0.0000571428571428571,18.377,0.000511035942861315
"314","DN","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",210,376,429009,0.0000619047619047619,18.377,0.000489500220275099
"315","DN","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",210,401,470438,0.00010952380952381,18.377,0.000446392510809076
"316","DN","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",184,368,434418,0.0000652173913043478,20.97375,0.000423555193385173
"317","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",233,430,479927,0.0000386266094420601,16.5629613733906,0.000485490501680464
"318","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",206,381,462196,0.0000970873786407767,18.7338349514563,0.000445698361733983
"319","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",232,423,500436,0.0000689655172413793,16.6343534482759,0.000463595744510787
"320","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",194,383,487801,0.0000927835051546392,19.8926288659794,0.000397703161740136
"321","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",242,454,541798,0.0000165289256198347,15.9469834710744,0.000446660932672324
"322","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",219,369,434309,0.0000867579908675799,17.6217808219178,0.000504249278739331
